nombre,lat,lon,nodo_red,centro_id,direccion_completa,especialidades_texto,perfiles_atencion,dist_match_m
Hospital Infantil Universitario del Niño Jesús,40.41435345953849,-3.676186568065923,1848514773,CH0037,AVDA de Menéndez Pelayo 65 Madrid 28009,Cuidados intermedios neonatales | Atención sanitaria domiciliaria | Banco de tejidos | Implantación de tejidos | Dermatología | Tratamiento del dolor | Reumatología | Medicina preventiva | Obtención de muestras | Psicología clínica | Servicio de transfusión | Inmunología | Bioquímica clínica | Atención Continuada en Atención Primaria | Cuidados paliativos | Fisioterapia | Medicina del trabajo | Terapia ocupacional | Cirugía menor ambulatoria | Rehabilitación | Urología | Cirugía maxilofacial | Cuidados intensivos neonatales | Obtención de tejidos | Laboratorio Clínico | Vacunación | Hematología clínica | Alergología | Cirugía ortopédica y Traumatología | Cirugía pediátrica | Cirugía mayor ambulatoria | Oftalmología | Extracción de sangre para donación | Neurofisiología | Nutrición y Dietética | Cirugía plástica y reparadora | Ginecología | Otorrinolaringología | Odontología/Estomatología | Anestesia y Reanimación | Farmacia | Pediatría | Oncología | Extracción de órganos | Genética | Anatomía patológica | Microbiología y Parasitología | Cardiología | Enfermería | Radiodiagnóstico | Laboratorio de hematología | Psiquiatría | Hospital de día | Logopedia | Psiquiatría Infantil y de la Adolescencia | Neurocirugía,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,76.9
Hospital Central de la Cruz Roja San José y Santa Adela,40.44782855553016,-3.707642320169125,34407848,CH0026,AVDA de la Reina Victoria 22-26 Madrid 28003,Cirugía plástica y reparadora | Radiodiagnóstico | Logopedia | Urología | Angiología y Cirugía Vascular | Obstetricia | Medicina interna | Geriatría | Psiquiatría | Implantación de tejidos | Microbiología y Parasitología | Terapia ocupacional | Fisioterapia | Enfermería | Anatomía patológica | Aparato digestivo | Endocrinología | Cuidados paliativos | Alergología | Cardiología | Otras unidades asistenciales | Obtención de muestras | Psicología clínica | Hospital de día | Odontología/Estomatología | Medicina preventiva | Dermatología | Anestesia y Reanimación | Ginecología | Cirugía ortopédica y Traumatología | Otorrinolaringología | Neurofisiología | Laboratorio de hematología | Laboratorio Clínico | Cirugía mayor ambulatoria | Neurología | Neumología | Medicina nuclear | Farmacia | Atención Continuada en Atención Primaria | Atención sanitaria domiciliaria | Oftalmología | Cirugía general y digestivo | Servicio de transfusión | Hematología clínica | Rehabilitación | Cirugía menor ambulatoria,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia,66.0
Hospital Universitario La Moraleja Sanitas,40.49221214096386,-3.6630968801072505,475249070,CH0089,AVDA de Francisco Pi y Margall 81 Madrid 28050,Neurofisiología | Farmacia | Dermatología | Cirugía menor ambulatoria | Cirugía estética | Ginecología | Implantación de tejidos | Laboratorio Clínico | Hospital de día | Rehabilitación | Oftalmología | Obtención de tejidos | Otras unidades asistenciales | Aparato digestivo | Cirugía general y digestivo | Obstetricia | Cuidados intensivos neonatales | Cuidados intermedios neonatales | Nefrología | Medicina interna | Cirugía maxilofacial | Medicina nuclear | Obtención de muestras | Cirugía cardiaca | Nutrición y Dietética | Cirugía torácica | Hemodinámica | Medicina intensiva | Reumatología | Cirugía ortopédica y Traumatología | Alergología | Angiología y Cirugía Vascular | Psiquiatría Infantil y de la Adolescencia | Laboratorio de hematología | Anatomía patológica | Microbiología y Parasitología | Fisioterapia | Urología | Otorrinolaringología | Tratamiento del dolor | Enfermería obstétrico-ginecológica (matrona) | Radiodiagnóstico | Psiquiatría | Cirugía pediátrica | Enfermería | Neurología | Neumología | Endocrinología | Cirugía mayor ambulatoria | Vacunación | Anestesia y Reanimación | Pediatría | Geriatría | Medicina general/de familia | Atención Continuada en Atención Primaria | Litotricia renal | Cirugía plástica y reparadora | Odontología/Estomatología | Servicio de transfusión | Hematología clínica | Cardiología | Neurocirugía | Oncología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,48.4
Hospital de Cantoblanco,40.53932145878405,-3.693337336570667,2372791047,CS13175,CTRA de Canto Blanco 8 PL. BAJA Y SS Madrid 28049,Otras unidades asistenciales | Radiodiagnóstico | Genética | Obtención de muestras,diagnostico,93.3
Quirón San José,40.440286482600655,-3.674431601249813,1829659976,CH0071,CALLE de Cartagena 111 Madrid 28002,Reumatología | Cuidados intermedios neonatales | Neurofisiología | Obtención de tejidos | Neurocirugía | Tratamiento del dolor | Enfermería obstétrico-ginecológica (matrona) | Servicio de transfusión | Dermatología | Anatomía patológica | Psicología clínica | Logopedia | Cirugía refractiva | Neumología | Implantación de tejidos | Medicina estética | Ginecología | Pediatría | Cardiología | Oftalmología | Cirugía pediátrica | Neurología | Aparato digestivo | Farmacia | Alergología | Vacunación | Medicina intensiva | Nutrición y Dietética | Endocrinología | Obtención de muestras | Foniatría | Cirugía ortopédica y Traumatología | Cirugía menor ambulatoria | Cirugía general y digestivo | Medicina preventiva | Hospital de día | Cirugía maxilofacial | Cuidados intensivos neonatales | Extracción de sangre para donación | Otorrinolaringología | Medicina interna | Radiodiagnóstico | Laboratorio de hematología | Laboratorio Clínico | Anestesia y Reanimación | Cirugía mayor ambulatoria | Urología | Obstetricia | Enfermería | Hematología clínica | Atención Continuada en Atención Primaria | Cirugía estética | Cirugía plástica y reparadora | Angiología y Cirugía Vascular,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | diagnostico | urgencias_criticas | rehabilitacion | cirugia,35.4
Hospital Ruber Juan Bravo,40.43274876126329,-3.67765937283876,28096877,CS14948,CALLE de Juan Bravo 41 BAJO Madrid 28006,Otras unidades asistenciales,,37.7
Hospital Vithas Madrid Aravaca,40.46710328304582,-3.783565086422478,266493183,CH0092,CALLE de La Salle 12 Madrid 28023,Banco de embriones | Logopedia | Vacunación | Pediatría | Cirugía mayor ambulatoria | Otorrinolaringología | Cirugía estética | Cirugía cardiaca | Fecundación in vitro | Banco de tejidos | Radiodiagnóstico | Cirugía ortopédica y Traumatología | Urología | Hemodinámica | Odontología/Estomatología | Obstetricia | Nefrología | Implantación de tejidos | Obtención de tejidos | Servicio de transfusión | Hematología clínica | Cirugía general y digestivo | Medicina intensiva | Reumatología | Medicina general/de familia | Psiquiatría | Oftalmología | Medicina estética | Cirugía plástica y reparadora | Cirugía maxilofacial | Inseminación artificial | Banco de oocitos | Laboratorio de semen para capacitación espermática | Neurofisiología | Nutrición y Dietética | Anatomía patológica | Rehabilitación | Cirugía torácica | Enfermería obstétrico-ginecológica (matrona) | Banco de semen | Ginecología | Cuidados intermedios neonatales | Medicina de la educación física y el deporte | Otras unidades asistenciales | Laboratorio Clínico | Fisioterapia | Angiología y Cirugía Vascular | Tratamiento del dolor | Cirugía pediátrica | Medicina interna | Farmacia | Dermatología | Recuperación de oocitos | Endocrinología | Atención Continuada en Atención Primaria | Cirugía menor ambulatoria | Alergología | Enfermería | Bioquímica clínica | Neurocirugía | Neurología | Medicina preventiva | Hospital de día | Foniatría | Cirugía refractiva | Cuidados intensivos neonatales | Oncología | Laboratorio de hematología | Anestesia y Reanimación | Neumología | Medicina del trabajo | Aparato digestivo | Microbiología y Parasitología | Obtención de muestras | Psicología clínica | Cardiología | Planificación familiar,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,88.8
Asepeyo,40.43654767520569,-3.6771162627263214,27512872,CS1450,CALLE de Francisco Silvela 79-81 Madrid 28028,Medicina general/de familia | Fisioterapia | Enfermería | Cirugía ortopédica y Traumatología | Psiquiatría | Depósito de medicamentos,trauma_ortopedia | salud_mental | rehabilitacion,17.4
Clínica López Ibor,40.46907972156851,-3.724891086956175,153129126,CH0057,CALLE del Doctor Juan José López Ibor 2 Madrid 28035,Anestesia y Reanimación | Terapia ocupacional | Neurofisiología | Psicología clínica | Fisioterapia | Depósito de medicamentos | Medicina general/de familia | Otras unidades asistenciales | Atención Continuada en Atención Primaria | Hospital de día | Obtención de muestras | Enfermería | Atención sanitaria a drogodependientes | Psiquiatría,neurologia | salud_mental | urgencias_criticas | rehabilitacion,65.4
Hospital San Francisco de Asís,40.44266695405116,-3.6837462734212014,142260103,CH0070,CALLE de Joaquín Costa 28 Madrid 28002,Medicina general/de familia | Aparato digestivo | Radiodiagnóstico | Psiquiatría | Cirugía menor ambulatoria | Servicio de transfusión | Cirugía general y digestivo | Cirugía torácica | Diálisis | Farmacología clínica | Hemodinámica | Medicina intensiva | Tratamiento del dolor | Farmacia | Pediatría | Enfermería | Cardiología | Cirugía estética | Neurología | Medicina interna | Neumología | Geriatría | Genética | Rehabilitación | Otorrinolaringología | Cirugía mayor ambulatoria | Alergología | Cirugía plástica y reparadora | Anestesia y Reanimación | Reumatología | Endocrinología | Obtención de muestras | Dermatología | Anatomía patológica | Laboratorio Clínico | Oftalmología | Neurofisiología | Nefrología | Implantación de tejidos | Hematología clínica | Atención Continuada en Atención Primaria | Hospital de día | Cirugía ortopédica y Traumatología | Urología | Cirugía cardiaca | Obstetricia | Cirugía pediátrica | Radioterapia | Cuidados intensivos neonatales | Medicina preventiva | Odontología/Estomatología | Angiología y Cirugía Vascular | Cuidados intermedios neonatales | Nutrición y Dietética | Neurocirugía | Enfermería obstétrico-ginecológica (matrona) | Ginecología | Oncología | Medicina del trabajo | Obtención de tejidos | Otras unidades asistenciales | Fisioterapia | Cirugía maxilofacial,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,23.7
Clínica Fuensanta,40.44006641645719,-3.6402770952971424,2507780414,CH0006,CALLE de Arturo Soria 17 Madrid 28027,Anestesia y Reanimación | Medicina estética | Otorrinolaringología | Cirugía menor ambulatoria | Alergología | Cirugía general y digestivo | Tratamiento del dolor | Obstetricia | Cirugía pediátrica | Bioquímica clínica | Neurocirugía | Microbiología y Parasitología | Enfermería | Diálisis | Reumatología | Aparato digestivo | Ginecología | Nefrología | Medicina interna | Dermatología | Anatomía patológica | Cardiología | Farmacia | Cirugía ortopédica y Traumatología | Urología | Inmunología | Cirugía estética | Neumología | Vacunación | Atención Continuada en Atención Primaria | Rehabilitación | Pediatría | Cirugía maxilofacial | Obtención de muestras | Cirugía plástica y reparadora | Servicio de transfusión | Fisioterapia | Laboratorio Clínico | Podología | Endocrinología | Radiodiagnóstico | Medicina intensiva | Neurología | Medicina general/de familia | Atención sanitaria domiciliaria | Cirugía mayor ambulatoria | Oftalmología | Odontología/Estomatología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | diagnostico | urgencias_criticas | rehabilitacion | cirugia,16.2
Instituto Provincial de Oftalmología,40.43212704082092,-3.693029588279763,139977758,CS14417,CALLE del General Arrando 17 Madrid 28010,Oftalmología | Enfermería | Anestesia y Reanimación | Cirugía mayor ambulatoria | Depósito de medicamentos,urgencias_criticas | cirugia,28.5
Hospital Ambulatorio Virgen del Mar,40.46453213405613,-3.685152614813196,102280396,CS0595,CALLE del General López Pozas 10 Madrid 28036,Neurología | Medicina interna | Laboratorio de hematología | Microbiología y Parasitología | Obtención de muestras | Cardiología | Endocrinología | Medicina preventiva | Hematología clínica | Urología | Obstetricia | Aparato digestivo | Farmacia | Hospital de día | Cirugía plástica y reparadora | Reumatología | Psiquiatría | Laboratorio Clínico | Alergología | Cirugía estética | Cirugía general y digestivo | Oncología | Farmacología clínica | Dermatología | Bioquímica clínica | Cirugía ortopédica y Traumatología | Anestesia y Reanimación | Medicina general/de familia | Ginecología | Anatomía patológica | Vacunación | Otorrinolaringología | Neumología | Medicina de la educación física y el deporte | Servicio de transfusión | Cirugía mayor ambulatoria | Pediatría | Psicología clínica | Radiodiagnóstico | Cirugía menor ambulatoria | Enfermería,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | cirugia | oncologia,5.2
Hospital Virgen de la Paloma,40.44538160487622,-3.716212785765965,150760511,CH0019,CALLE de la Granja 8 Madrid 28003,Hemodinámica | Ginecología | Reumatología | Neumología | Diálisis | Medicina general/de familia | Otorrinolaringología | Cirugía refractiva | Cirugía maxilofacial | Cirugía ortopédica y Traumatología | Oncología | Farmacia | Bioquímica clínica | Atención Continuada en Atención Primaria | Cirugía menor ambulatoria | Alergología | Odontología/Estomatología | Neurofisiología | Obtención de muestras | Psiquiatría | Cirugía plástica y reparadora | Otras unidades asistenciales | Implantación de tejidos | Angiología y Cirugía Vascular | Cirugía pediátrica | Pediatría | Neurología | Endocrinología | Cardiología | Rehabilitación | Cirugía cardiaca | Geriatría | Cirugía mayor ambulatoria | Enfermería | Tratamiento del dolor | Cirugía estética | Hematología clínica | Oftalmología | Radioterapia | Laboratorio de hematología | Anatomía patológica | Anestesia y Reanimación | Urología | Nefrología | Radiodiagnóstico | Hospital de día | Aparato digestivo | Inmunología | Fisioterapia | Medicina del trabajo | Medicina interna | Dermatología | Litotricia renal | Vacunación | Medicina estética | Nutrición y Dietética | Medicina hiperbárica | Neurocirugía | Cirugía torácica | Medicina intensiva | Servicio de transfusión | Laboratorio Clínico | Cirugía general y digestivo,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,80.0
Hospital Universitario Infanta Leonor,40.38628226032713,-3.617730083825765,1622757250,CH0101,AVDA de la Gran Vía del Este 80 Madrid 28031,Medicina interna | Aparato digestivo | Geriatría | Medicina del trabajo | Otorrinolaringología | Radiodiagnóstico | Cirugía menor ambulatoria | Fisioterapia | Cirugía general y digestivo | Oncología | Laboratorio Clínico | Cardiología | Atención Continuada en Atención Primaria | Atención sanitaria domiciliaria | Hospital de día | Oftalmología | Extracción de órganos | Otras unidades asistenciales | Medicina intensiva | Neurología | Neumología | Servicio de transfusión | Hematología clínica | Bioquímica clínica | Psicología clínica | Rehabilitación | Extracción de sangre para donación | Cirugía ortopédica y Traumatología | Ginecología | Cuidados intermedios neonatales | Farmacia | Anatomía patológica | Psiquiatría | Anestesia y Reanimación | Nutrición y Dietética | Cirugía mayor ambulatoria | Planificación familiar | Dermatología | Obtención de muestras | Enfermería obstétrico-ginecológica (matrona) | Reumatología | Pediatría | Implantación de tejidos | Endocrinología | Obtención de tejidos | Terapia ocupacional | Urología | Enfermería | Diálisis | Nefrología | Medicina preventiva | Obstetricia | Alergología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,100.1
Hospital Universitario Ramón y Cajal.,40.48735839292427,-3.69398264858072,31463407,CS4982,CALLE de San Modesto 44 1ºB Madrid 28034,Oftalmología,,205.8
Hospital Dr. Rodríguez Lafora (Psiquiátrico),40.53190932638483,-3.69145141333794,9811341519,CH0025,"CTRA de Colmenar Viejo K.14,500 Madrid 28049",Aparato digestivo | Cirugía mayor ambulatoria | Medicina interna | Dermatología | Terapia ocupacional | Neurología | Neumología | Radiodiagnóstico | Obtención de muestras | Anestesia y Reanimación | Fisioterapia | Cirugía menor ambulatoria | Rehabilitación | Farmacia | Implantación de tejidos | Enfermería | Cirugía ortopédica y Traumatología | Geriatría | Medicina preventiva,neurologia | trauma_ortopedia | diagnostico | urgencias_criticas | rehabilitacion | cirugia,336.8
Hospital Fundación Jiménez Díaz,40.43895556231404,-3.719140001871915,26211553,CH0053,CALLE del Profesor Martín Lagos s/n Madrid 28040,Dermatología | Implantación de tejidos | Obtención de tejidos | Otras unidades asistenciales | Farmacología clínica | Laboratorio de hematología | Neurocirugía | Banco de embriones | Cirugía pediátrica | Neurofisiología | Logopedia | Obstetricia | Neumología | Banco de tejidos | Anatomía patológica | Rehabilitación | Angiología y Cirugía Vascular | Enfermería obstétrico-ginecológica (matrona) | Medicina interna | Nutrición y Dietética | Genética | Obtención de muestras | Psiquiatría | Cuidados intermedios neonatales | Banco de oocitos | Endocrinología | Bioquímica clínica | Recuperación de oocitos | Banco de semen | Pediatría | Farmacia | Extracción de sangre para donación | Cirugía plástica y reparadora | Laboratorio de semen para capacitación espermática | Hematología clínica | Cirugía torácica | Planificación familiar | Geriatría | Medicina del trabajo | Otorrinolaringología | Extracción de órganos | Medicina preventiva | Medicina nuclear | Radioterapia | Microbiología y Parasitología | Cuidados paliativos | Cirugía mayor ambulatoria | Cirugía maxilofacial | Inmunología | Cardiología | Foniatría | Inseminación artificial | Cuidados intensivos neonatales | Diálisis | Servicio de transfusión | Hospital de día | Alergología | Urología | Reumatología | Trasplante de órganos | Laboratorio Clínico | Atención Continuada en Atención Primaria | Terapia ocupacional | Cirugía ortopédica y Traumatología | Anestesia y Reanimación | Fecundación in vitro | Oncología | Atención sanitaria domiciliaria | Medicina intensiva | Tratamiento del dolor | Ginecología | Nefrología | Fisioterapia | Vacunación | Cirugía general y digestivo | Hemodinámica | Cirugía cardiaca | Aparato digestivo | Radiodiagnóstico | Psicología clínica | Cirugía menor ambulatoria | Oftalmología | Enfermería | Neurología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,115.0
Hospital Universitario Clínico San Carlos,40.4406534873142,-3.719931712991178,2453487277,CH0053,CALLE del Profesor Martín Lagos s/n Madrid 28040,Dermatología | Implantación de tejidos | Obtención de tejidos | Otras unidades asistenciales | Farmacología clínica | Laboratorio de hematología | Neurocirugía | Banco de embriones | Cirugía pediátrica | Neurofisiología | Logopedia | Obstetricia | Neumología | Banco de tejidos | Anatomía patológica | Rehabilitación | Angiología y Cirugía Vascular | Enfermería obstétrico-ginecológica (matrona) | Medicina interna | Nutrición y Dietética | Genética | Obtención de muestras | Psiquiatría | Cuidados intermedios neonatales | Banco de oocitos | Endocrinología | Bioquímica clínica | Recuperación de oocitos | Banco de semen | Pediatría | Farmacia | Extracción de sangre para donación | Cirugía plástica y reparadora | Laboratorio de semen para capacitación espermática | Hematología clínica | Cirugía torácica | Planificación familiar | Geriatría | Medicina del trabajo | Otorrinolaringología | Extracción de órganos | Medicina preventiva | Medicina nuclear | Radioterapia | Microbiología y Parasitología | Cuidados paliativos | Cirugía mayor ambulatoria | Cirugía maxilofacial | Inmunología | Cardiología | Foniatría | Inseminación artificial | Cuidados intensivos neonatales | Diálisis | Servicio de transfusión | Hospital de día | Alergología | Urología | Reumatología | Trasplante de órganos | Laboratorio Clínico | Atención Continuada en Atención Primaria | Terapia ocupacional | Cirugía ortopédica y Traumatología | Anestesia y Reanimación | Fecundación in vitro | Oncología | Atención sanitaria domiciliaria | Medicina intensiva | Tratamiento del dolor | Ginecología | Nefrología | Fisioterapia | Vacunación | Cirugía general y digestivo | Hemodinámica | Cirugía cardiaca | Aparato digestivo | Radiodiagnóstico | Psicología clínica | Cirugía menor ambulatoria | Oftalmología | Enfermería | Neurología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,86.8
Hospital Virgen de la Torre,40.38101750575376,-3.619297999545098,316772280,CH0054,CALLE del Puerto de Lumbreras 5 Madrid 28031,Medicina del trabajo | Radiodiagnóstico | Cuidados paliativos | Medicina interna | Logopedia | Terapia ocupacional | Fisioterapia | Rehabilitación | Enfermería | Medicina preventiva | Obtención de muestras | Hospital de día | Psicología clínica,diagnostico | rehabilitacion,21.4
Hospital Universitario de la Princesa,40.43403696394396,-3.675749351450635,143496213,CH0029,CALLE de Diego de León 62 Madrid 28006,Cirugía maxilofacial | Medicina del trabajo | Aparato digestivo | Anatomía patológica | Alergología | Cirugía cardiaca | Angiología y Cirugía Vascular | Tratamiento del dolor | Fisioterapia | Neurología | Diálisis | Medicina interna | Geriatría | Extracción de órganos | Oftalmología | Rehabilitación | Urología | Cirugía plástica y reparadora | Cirugía torácica | Obtención de tejidos | Vacunación | Cirugía general y digestivo | Banco de tejidos | Radioterapia | Medicina preventiva | Genética | Logopedia | Anestesia y Reanimación | Neurofisiología | Endocrinología | Otras unidades asistenciales | Cirugía mayor ambulatoria | Cirugía ortopédica y Traumatología | Enfermería | Nutrición y Dietética | Farmacología clínica | Cirugía menor ambulatoria | Laboratorio de hematología | Atención Continuada en Atención Primaria | Atención sanitaria domiciliaria | Hospital de día | Otorrinolaringología | Servicio de transfusión | Extracción de sangre para donación | Dermatología | Psiquiatría | Hemodinámica | Implantación de tejidos | Radiodiagnóstico | Laboratorio Clínico | Cuidados paliativos | Neumología | Medicina nuclear | Cardiología | Reumatología | Nefrología | Farmacia | Microbiología y Parasitología | Inmunología | Medicina intensiva | Oncología | Hematología clínica | Obtención de muestras | Psicología clínica | Neurocirugía,cardiovascular | neurologia | trauma_ortopedia | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,37.2
Instituto Provincial de Rehabilitación,40.43329184180203,-3.672540766875184,143615766,CH0059,CALLE de Francisco Silvela 40 Madrid 28028,Anestesia y Reanimación | Fisioterapia | Cirugía general y digestivo | Oftalmología | Nutrición y Dietética | Obtención de muestras | Psicología clínica | Hospital de día | Rehabilitación | Aparato digestivo | Tratamiento del dolor | Enfermería | Geriatría | Reumatología | Endocrinología | Logopedia | Depósito de medicamentos | Medicina preventiva | Cardiología | Cirugía mayor ambulatoria | Dermatología | Cirugía menor ambulatoria | Foniatría | Cirugía ortopédica y Traumatología | Neumología | Medicina interna | Hematología clínica | Radiodiagnóstico | Psiquiatría | Terapia ocupacional,cardiovascular | trauma_ortopedia | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia,22.5
Centro de Especialidades Periférico de Peñagrande.,40.47470594586311,-3.7253274373166727,262355786,CS8141,CALLE de la Isla Cerdeña S/N Madrid 28035,Radiodiagnóstico | Reumatología | Geriatría | Medicina preventiva | Aparato digestivo | Enfermería | Urología | Neumología | Neurología | Obtención de muestras | Cardiología | Rehabilitación | Fisioterapia | Oftalmología | Dermatología | Angiología y Cirugía Vascular | Cirugía ortopédica y Traumatología | Otorrinolaringología | Endocrinología | Cirugía menor ambulatoria,cardiovascular | neurologia | trauma_ortopedia | diagnostico | rehabilitacion | cirugia,20.7
Clínica San Miguel (Hermanas Hospitalarias),40.46009059376168,-3.660074931085729,100963152,CH0062,CALLE de Arturo Soria 204 Madrid 28043,Psicología clínica | Farmacia | Terapia ocupacional | Vacunación | Medicina general/de familia | Enfermería | Psiquiatría,salud_mental | rehabilitacion,16.1
Hospital Virgen del Mar,40.459391958266565,-3.678668433276812,102516764,CH0069,CALLE de Honduras 14 Madrid 28016,Reumatología | Implantación de tejidos | Radiodiagnóstico | Medicina general/de familia | Cirugía ortopédica y Traumatología | Oftalmología | Odontología/Estomatología | Angiología y Cirugía Vascular | Geriatría | Endocrinología | Cirugía refractiva | Cirugía general y digestivo | Enfermería | Neurofisiología | Neurología | Servicio de transfusión | Urología | Cirugía torácica | Medicina intensiva | Obstetricia | Pediatría | Otras unidades asistenciales | Atención Continuada en Atención Primaria | Alergología | Cirugía mayor ambulatoria | Fisioterapia | Cirugía maxilofacial | Neumología | Farmacia | Neurocirugía | Cirugía estética | Cirugía plástica y reparadora | Aparato digestivo | Hematología clínica | Cirugía menor ambulatoria | Nefrología | Cardiología | Vacunación | Tratamiento del dolor | Anestesia y Reanimación | Planificación familiar | Nutrición y Dietética | Laboratorio Clínico | Medicina hiperbárica | Ginecología | Oncología | Anatomía patológica | Obtención de muestras | Medicina interna | Cirugía pediátrica | Dermatología | Otorrinolaringología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,14.1
Sanitas Mirasierra,40.49320707016408,-3.7065649213423058,2479592746,SS01208,CALLE de Nuria 40 Madrid 28034,Otras unidades asistenciales | Obtención de muestras | Enfermería | Terapia ocupacional | Fisioterapia | Medicina general/de familia,rehabilitacion,12.8
Clínica Santa Elena,40.445680780668944,-3.716751117209704,150760548,CH0019,CALLE de la Granja 8 Madrid 28003,Hemodinámica | Ginecología | Reumatología | Neumología | Diálisis | Medicina general/de familia | Otorrinolaringología | Cirugía refractiva | Cirugía maxilofacial | Cirugía ortopédica y Traumatología | Oncología | Farmacia | Bioquímica clínica | Atención Continuada en Atención Primaria | Cirugía menor ambulatoria | Alergología | Odontología/Estomatología | Neurofisiología | Obtención de muestras | Psiquiatría | Cirugía plástica y reparadora | Otras unidades asistenciales | Implantación de tejidos | Angiología y Cirugía Vascular | Cirugía pediátrica | Pediatría | Neurología | Endocrinología | Cardiología | Rehabilitación | Cirugía cardiaca | Geriatría | Cirugía mayor ambulatoria | Enfermería | Tratamiento del dolor | Cirugía estética | Hematología clínica | Oftalmología | Radioterapia | Laboratorio de hematología | Anatomía patológica | Anestesia y Reanimación | Urología | Nefrología | Radiodiagnóstico | Hospital de día | Aparato digestivo | Inmunología | Fisioterapia | Medicina del trabajo | Medicina interna | Dermatología | Litotricia renal | Vacunación | Medicina estética | Nutrición y Dietética | Medicina hiperbárica | Neurocirugía | Cirugía torácica | Medicina intensiva | Servicio de transfusión | Laboratorio Clínico | Cirugía general y digestivo,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,24.7
Hospital de Día Pio XII,40.46598228491032,-3.670629131013978,25962806,CS0069,CUSTA del Sagrado Corazón 4 Madrid 28016,Urología | Cirugía mayor ambulatoria | Dermatología | Cirugía plástica y reparadora | Otras unidades asistenciales | Obtención de muestras | Cardiología | Depósito de medicamentos | Angiología y Cirugía Vascular | Endocrinología | Radiodiagnóstico | Psiquiatría | Alergología | Cirugía ortopédica y Traumatología | Anestesia y Reanimación | Cirugía maxilofacial | Podología | Enfermería | Otorrinolaringología | Medicina general/de familia | Oftalmología | Obstetricia | Ginecología | Medicina estética | Odontología/Estomatología | Neumología | Atención sanitaria domiciliaria | Cirugía general y digestivo | Neurología | Medicina aeronáutica | Aparato digestivo | Fisioterapia | Cirugía estética | Medicina del trabajo,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia,11.6
Hospital Universitario La Moraleja - Ana de Austria,40.49276939355984,-3.66725687141547,262567273,CS16443,CALLE del Arroyo de Valdebebas 5 Madrid 28050,Logopedia | Radiodiagnóstico | Anestesia y Reanimación | Ginecología | Cirugía refractiva | Neurología | Geriatría | Cirugía menor ambulatoria | Otorrinolaringología | Medicina hiperbárica | Fisioterapia | Psiquiatría Infantil y de la Adolescencia | Dermatología | Psiquiatría | Cirugía mayor ambulatoria | Depósito de medicamentos | Endocrinología | Otras unidades asistenciales | Cardiología | Cirugía ortopédica y Traumatología | Rehabilitación | Urología | Cirugía plástica y reparadora | Medicina estética | Enfermería obstétrico-ginecológica (matrona) | Reumatología | Enfermería | Obtención de muestras | Podología | Medicina interna | Medicina de la educación física y el deporte | Oftalmología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia,58.5
Hospital Universitario Vithas Madrid Arturo Soria,40.449654773759136,-3.652072507499689,100955668,SS01202,"CALLE de Arturo Soria 126 L-B14B, B015, B Madrid 28043",Medicina estética | Depósito de medicamentos,,86.5
Centro de Salud Valdebebas,40.49500653795396,-3.615685166656932,1433108801,CS15134,AVDA de Juan Antonio Samaranch S/N (Acceso C/ Josef LOCAL Madrid 28055,Odontología/Estomatología,,171.7
