nombre,lat,lon,nodo_red,centro_id,direccion_completa,especialidades_texto,perfiles_atencion,dist_match_m
Clínica Cemtro,40.49408649193658,-3.716893526566537,254495622,CH0079,AVDA del Ventisquero de la Condesa 42 Madrid 28035,Obtención de tejidos | Cirugía menor ambulatoria | Neurocirugía | Radiodiagnóstico | Anestesia y Reanimación | Medicina interna | Atención Continuada en Atención Primaria | Farmacia | Alergología | Podología | Cirugía maxilofacial | Cirugía torácica | Tratamiento del dolor | Neumología | Anatomía patológica | Cardiología | Otorrinolaringología | Oftalmología | Medicina intensiva | Ginecología | Enfermería | Laboratorio Clínico | Medicina del trabajo | Aparato digestivo | Cirugía mayor ambulatoria | Cirugía plástica y reparadora | Otras unidades asistenciales | Fisioterapia | Hematología clínica | Cirugía ortopédica y Traumatología | Urología | Cirugía general y digestivo | Angiología y Cirugía Vascular | Medicina de la educación física y el deporte | Obtención de muestras | Reumatología | Oncología | Neurofisiología | Servicio de transfusión | Dermatología | Neurología | Implantación de tejidos,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,31.3
Hospital de la Zarzuela,40.46270142023357,-3.784991423612674,264504939,CS7897,CALLE de Anita Vindel 40 Madrid 28023,Obstetricia | Enfermería | Ginecología,obstetricia_neonatal,67.3
Hospital San Rafael,40.452451288393725,-3.681791958363607,119837172,CH0050,CALLE de Serrano 199 Madrid 28016,Medicina interna | Psicología clínica | Neurocirugía | Cuidados intensivos neonatales | Oncología | Nefrología | Hematología clínica | Bioquímica clínica | Cirugía menor ambulatoria | Cirugía general y digestivo | Cirugía cardiaca | Anestesia y Reanimación | Enfermería obstétrico-ginecológica (matrona) | Inmunología | Hospital de día | Cirugía torácica | Hemodinámica | Medicina preventiva | Alergología | Obstetricia | Reumatología | Endocrinología | Otorrinolaringología | Odontología/Estomatología | Medicina intensiva | Neumología | Otras unidades asistenciales | Farmacia | Cirugía plástica y reparadora | Cirugía pediátrica | Implantación de tejidos | Radiodiagnóstico | Medicina general/de familia | Cirugía mayor ambulatoria | Cuidados intermedios neonatales | Neurofisiología | Geriatría | Atención Continuada en Atención Primaria | Servicio de transfusión | Genética | Vacunación | Aparato digestivo | Obtención de muestras | Cardiología | Foniatría | Logopedia | Rehabilitación | Cirugía ortopédica y Traumatología | Fisioterapia | Urología | Cirugía maxilofacial | Laboratorio de hematología | Dermatología | Enfermería | Anatomía patológica | Psiquiatría | Tratamiento del dolor | Cuidados paliativos | Nutrición y Dietética | Obtención de tejidos | Microbiología y Parasitología | Laboratorio Clínico | Cirugía refractiva | Oftalmología | Ginecología | Pediatría | Medicina del trabajo | Angiología y Cirugía Vascular | Neurología,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,30.4
Hospital Universitario 12 de Octubre,40.37614409179814,-3.698389436326836,1474148173,CH0023,AVDA de Córdoba S/N Madrid 28041,Otorrinolaringología | Oftalmología | Neurología | Nefrología | Endocrinología | Trasplante de órganos | Cardiología | Pediatría | Diálisis | Medicina interna | Geriatría | Aparato digestivo | Neurocirugía | Enfermería obstétrico-ginecológica (matrona) | Neumología | Banco de tejidos | Otras unidades asistenciales | Cirugía menor ambulatoria | Foniatría | Cirugía maxilofacial | Medicina nuclear | Alergología | Fisioterapia | Litotricia renal | Cirugía torácica | Planificación familiar | Obstetricia | Obtención de tejidos | Psiquiatría | Cirugía ortopédica y Traumatología | Cirugía refractiva | Vacunación | Angiología y Cirugía Vascular | Tratamiento del dolor | Banco de semen | Fecundación in vitro | Oncología | Implantación de tejidos | Laboratorio de hematología | Atención Continuada en Atención Primaria | Rehabilitación | Banco de embriones | Inseminación artificial | Cuidados intermedios neonatales | Enfermería | Laboratorio Clínico | Obtención de muestras | Cirugía pediátrica | Banco de oocitos | Dermatología | Hospital de día | Cirugía general y digestivo | Medicina intensiva | Hematología clínica | Cirugía mayor ambulatoria | Cirugía plástica y reparadora | Interrupción voluntaria del embarazo | Radioterapia | Urología | Neurofisiología | Psiquiatría Infantil y de la Adolescencia | Extracción de órganos | Radiodiagnóstico | Servicio de transfusión | Atención sanitaria domiciliaria | Logopedia | Recuperación de oocitos | Reumatología | Medicina del trabajo | Genética | Anatomía patológica | Hemodinámica | Laboratorio de semen para capacitación espermática | Cuidados intensivos neonatales | Farmacología clínica | Extracción de sangre para donación | Microbiología y Parasitología | Cuidados paliativos | Terapia ocupacional | Cirugía cardiaca | Ginecología | Anestesia y Reanimación | Nutrición y Dietética | Medicina preventiva | Farmacia | Inmunología | Bioquímica clínica | Psicología clínica,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,127.0
Fundación Instituto San José,40.36341470020988,-3.773511829898049,309892521,CH0038,CALLE del Pinar de San José 98 Madrid 28054,Neurología | Obtención de muestras | Nutrición y Dietética | Psiquiatría | Cirugía ortopédica y Traumatología | Radiodiagnóstico | Fisioterapia | Neurofisiología | Medicina interna | Medicina general/de familia | Farmacia | Otras unidades asistenciales | Enfermería | Psicología clínica | Rehabilitación | Lesionados medulares | Cuidados paliativos | Geriatría | Atención sanitaria domiciliaria | Logopedia | Tratamiento del dolor | Terapia ocupacional,neurologia | trauma_ortopedia | salud_mental | diagnostico | rehabilitacion,204.0
Clínica Ruber Juan Bravo,40.43303518505235,-3.676035977153534,143508734,CS14295,CALLE de Juan Bravo 51 DUPLICADO 5º D Madrid 28006,Otorrinolaringología,,45.2
Clínica MAZ,40.434524822747086,-3.629820368400699,31260445,CS14818,CALLE de Julián Camarillo 25 2º MÓDULO B Madrid 28037,Medicina del trabajo | Obtención de muestras | Otras unidades asistenciales,,11.9
Hospital de la Venerable Orden Tercera de San Francisco,40.40870238139916,-3.713948675253768,1501672355,CH0030,CALLE de San Bernabé 13 Madrid 28005,Cirugía mayor ambulatoria | Oftalmología | Pediatría | Otorrinolaringología | Implantación de tejidos | Foniatría | Tratamiento del dolor | Dermatología | Cirugía ortopédica y Traumatología | Medicina interna | Depósito de medicamentos | Laboratorio Clínico | Logopedia | Alergología | Cirugía plástica y reparadora | Reumatología | Neumología | Geriatría | Enfermería | Atención Continuada en Atención Primaria | Endocrinología | Servicio de transfusión | Fisioterapia | Cardiología | Medicina general/de familia | Urología | Cirugía estética | Cirugía general y digestivo | Obtención de muestras | Cirugía menor ambulatoria | Terapia ocupacional | Anestesia y Reanimación | Ginecología | Hematología clínica | Psiquiatría | Angiología y Cirugía Vascular | Cirugía maxilofacial | Neurofisiología | Neurología | Radiodiagnóstico | Cuidados paliativos | Neurocirugía | Aparato digestivo,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia,38.8
Ciudad Sanitaria La Paz,40.48145213615287,-3.6874643083113554,1137181111,CH0041,PASEO de la Castellana 261 Madrid 28046,Servicio de transfusión | Neurocirugía | Cirugía general y digestivo | Psiquiatría Infantil y de la Adolescencia | Cardiología | Medicina preventiva | Cirugía cardiaca | Medicina nuclear | Genética | Anatomía patológica | Terapia ocupacional | Quemados | Recuperación de oocitos | Pediatría | Neurología | Rehabilitación | Dermatología | Hematología clínica | Nutrición y Dietética | Laboratorio Clínico | Logopedia | Neumología | Inmunología | Atención Continuada en Atención Primaria | Hospital de día | Foniatría | Cirugía torácica | Cuidados intermedios neonatales | Microbiología y Parasitología | Banco de tejidos | Oftalmología | Cirugía maxilofacial | Psiquiatría | Atención sanitaria domiciliaria | Implantación de tejidos | Hemodinámica | Tratamiento del dolor | Fecundación in vitro | Cirugía pediátrica | Litotricia renal | Geriatría | Extracción de sangre para donación | Obtención de tejidos | Banco de semen | Cuidados intensivos neonatales | Farmacia | Laboratorio de hematología | Cirugía menor ambulatoria | Reumatología | Neurofisiología | Endocrinología | Radiodiagnóstico | Radioterapia | Trasplante de órganos | Otorrinolaringología | Anestesia y Reanimación | Enfermería | Medicina interna | Cirugía mayor ambulatoria | Angiología y Cirugía Vascular | Bioquímica clínica | Cuidados paliativos | Urología | Vacunación | Banco de embriones | Fisioterapia | Obtención de muestras | Psicología clínica | Laboratorio de semen para capacitación espermática | Inseminación artificial | Ginecología | Oncología | Extracción de órganos | Otras unidades asistenciales | Enfermería obstétrico-ginecológica (matrona) | Obstetricia | Diálisis | Alergología | Banco de oocitos | Medicina del trabajo | Cirugía plástica y reparadora | Medicina intensiva | Nefrología | Cirugía ortopédica y Traumatología | Aparato digestivo | Farmacología clínica,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,163.5
Centro de Cuidados paliativos Laguna,40.400706286420274,-3.747134503285708,347479866,CH0094,CALLE del Concejal Francisco José Jiménez Martín 128 Madrid 28047,Nutrición y Dietética | Terapia ocupacional | Psicología clínica | Geriatría | Neurología | Atención sanitaria domiciliaria | Pediatría | Otras unidades asistenciales | Radiodiagnóstico | Enfermería | Cuidados paliativos | Obtención de muestras | Fisioterapia | Podología | Depósito de medicamentos | Rehabilitación,neurologia | pediatria | diagnostico | rehabilitacion,26.1
